model,min connections,accuracy,precision,recall,f1_score
Packet CNN-RNN,400,0.8865312264860797,0.9,0.89,0.89
Ensemble RF + CNN-RNN,400,0.9702031602708804,0.97,0.97,0.97
Baseline RNN,400,0.8457486832204665,0.85,0.85,0.84
IAT CNN-RNN,500,0.7968304843304843,0.8,0.8,0.79
Random Forest,500,0.9638532763532763,0.97,0.96,0.96
Payload CNN-RNN,500,0.8776709401709402,0.89,0.88,0.88
Ensemble CNN-RNN,500,0.9061609686609686,0.92,0.91,0.91
Packet CNN-RNN,500,0.8920940170940171,0.91,0.89,0.89
Ensemble RF + CNN-RNN,500,0.9738247863247863,0.97,0.97,0.97
Baseline RNN,500,0.8632478632478633,0.88,0.86,0.86
IAT CNN-RNN,600,0.7964882589380157,0.8,0.8,0.78
Random Forest,600,0.9701713560397716,0.97,0.97,0.97
Payload CNN-RNN,600,0.8866088428178549,0.9,0.89,0.88
Ensemble CNN-RNN,600,0.8969748254707003,0.91,0.9,0.89
Packet CNN-RNN,600,0.887031944150624,0.9,0.89,0.88
Ensemble RF + CNN-RNN,600,0.9765178760313095,0.98,0.98,0.98
Baseline RNN,600,0.8804738734927015,0.9,0.88,0.88
Random Forest,1000,0.9873602333495382,0.99,0.99,0.99
Baseline RNN,1000,0.9470102090422946,0.95,0.95,0.95
Packet CNN-RNN,1000,0.9654837141468158,0.97,0.97,0.97
Payload CNN-RNN,1000,0.966456003889159,0.97,0.97,0.97
IAT CNN-RNN,1000,0.9377734564900341,0.94,0.94,0.94
Ensemble CNN-RNN 12,1000,0.9684005833738454,0.97,0.97,0.97
Ensemble CNN-RNN 13,1000,0.9727758872143899,0.97,0.97,0.97
Ensemble CNN-RNN 23,1000,0.9834710743801653,0.98,0.98,0.98
Ensemble CNN-RNN,1000,0.9781234807972776,0.98,0.98,0.98
Ensemble RF + CNN-RNN 12,1000,0.9883325230918814,0.99,0.99,0.99
Ensemble RF + CNN-RNN 13,1000,0.9922216820612543,0.99,0.99,0.99
Ensemble RF + CNN-RNN 23,1000,0.9912493923189111,0.99,0.99,0.99
Ensemble RF + CNN-RNN,1000,0.9912493923189111,0.99,0.99,0.99
Random Forest,900,0.9910256410256411,0.99,0.99,0.99
Baseline RNN,900,0.9517094017094017,0.96,0.95,0.95
Packet CNN-RNN,900,0.9598290598290599,0.97,0.96,0.96
Payload CNN-RNN,900,0.9564102564102565,0.96,0.96,0.96
IAT CNN-RNN,900,0.9175213675213675,0.92,0.92,0.92
